Algibacter alginolytica,Algibacter alginicilyticus
Alicyclobacillus acidocaldarius,Alicyclobacillus acidocaldarius
Alicyclobacillus consociatus,Effusibacillus consociatus
Alicyclobacillus pohliae,Effusibacillus pohliae
Alkalibacter ferment,Alkalibacter saccharofermentans
Alkalimicrobium pacificum,Mameliella alba
Alkalimicrobium unavailable,Mameliella unavailable
Alkaliphilus peptidofermentans,Alkaliphilus peptidifermentans
Alloactinosynnema album,Actinokineospora alba
Alloactinosynnema iranicum,Actinokineospora iranica
Alloactinosynnema unavailable,Actinokineospora unavailable
Allomonas enterica,Vibrio fluvialis
Allomonas unavailable,Vibrio unavailable
Altererythrobacter buctense,Altererythrobacter buctensis
Alteromonas atlantica,Pseudoalteromonas atlantica
Alteromonas aurantia,Pseudoalteromonas aurantia
Alteromonas carrageenovora,Pseudoalteromonas carrageenovora
Alteromonas citrea,Pseudoalteromonas citrea
Alteromonas colwelliana,Shewanella colwelliana
Alteromonas communis,Marinomonas communis
Alteromonas denitrificans,Pseudoalteromonas denitrificans
Alteromonas distincta,Pseudoalteromonas distincta
Alteromonas elyakovii,Pseudoalteromonas elyakovii
Alteromonas elykovii,Pseudoalteromonas elyakovii
Alteromonas espejiana,Pseudoalteromonas espejiana
Alteromonas fuliginea,Pseudoalteromonas fuliginea
Alteromonas haloplanktis,Pseudoalteromonas haloplanktis
Alteromonas hanedai,Shewanella hanedai
Alteromonas luteoviolacea,Pseudoalteromonas luteoviolacea
Alteromonas putrefaciens,Shewanella putrefaciens
Alteromonas rubra,Pseudoalteromonas rubra
Alteromonas tetraodonis,Pseudoalteromonas tetraodonis
Alteromonas undina,Pseudoalteromonas undina
Alteromonas vaga,Oceanospirillum vagum
Aminicella lysinolytica,Aminicella lysinilytica
Aminocella lysinolytica,Aminicella lysinilytica
Aminocella unavailable,Aminicella unavailable
Amoebobacter pedioformis,Thiolamprovum pedioforme
Amoebobacter pendens,Thiocapsa pendens
Amoebobacter purpureus,Lamprocystis purpurea
Amoebobacter roseus,Thiocapsa rosea
Amoebobacter unavailable,Thiocapsa unavailable
Amorphosporangium auranticolor,Actinoplanes auranticolor
Amorphosporangium globisporum,Actinoplanes globisporus
Amorphosporangium unavailable,Actinoplanes unavailable
Amphibacillus fermentum,Pelagirhabdus fermentum
Ampullariella campanulata,Actinoplanes campanulatus
Ampullariella digitata,Actinoplanes digitatis
Ampullariella lobata,Actinoplanes lobatus
Ampullariella regularis,Actinoplanes regularis
Ampullariella unavailable,Actinoplanes unavailable
Amycolata alni,Pseudonocardia alni
Amycolata autotrophica,Pseudonocardia autotrophica
Amycolata hydrocarbonoxydans,Pseudonocardia hydrocarbonoxydans
Amycolata saturnea,Pseudonocardia saturnea
Amycolata unavailable,Pseudonocardia unavailable
Amycolatopsis fastidiosa,Actinokineospora fastidiosa
Amycolatopsis halophila,Haloechinothrix halophila
Amycolatopsis japonicum,Amycolatopsis japonica
Amycolatopsis keratiniphila,Amycolatopsis keratiniphila
Amycolatopsis keratiniphila,Amycolatopsis keratiniphila
Amycolatopsis orientalis,Amycolatopsis lurida
Amycolatopsis orientalis,Amycolatopsis orientalis
Amycolatopsis rugosa,Prauserella rugosa
Amycolatopsis salitolerans,Haloechinothrix salitolerans
Amycolicicoccus subflavus,Hoyosella subflava
Amycolicicoccus unavailable,Hoyosella unavailable
Anaerobacillus alkalilacustre,Anaerobacillus alkalilacustris
Anaerobacter polyendosporus,Clostridium polyendosporum
Anaerobacter unavailable,Clostridium unavailable
Anaerobaculum hydrogeniformans,Acetomicrobium hydrogeniformans
Anaerobaculum mobile,Acetomicrobium mobile
Anaerobaculum thermoterrenum,Acetomicrobium thermoterrenum
Anaerobaculum unavailable,Acetomicrobium unavailable
Anaerococcus degenerii,Anaerococcus degeneri
Anaerococcus provenciensis,Anaerococcus provencensis
Anaerococcus rubiinfantis,Anaerococcus rubeinfantis
Anaerorhabdus furcosus,Anaerorhabdus furcosa
Anaerovibrio burkinabensis,Anaeroarcus burkinensis
Anaerovibrio glycerini,Anaerosinus glycerini
Anaerovibrio lipolytica,Anaerovibrio lipolyticus
Angiococcus disciformis,Archangium disciforme
Angiococcus unavailable,Archangium unavailable
Anoxybacillus flavithermus,Anoxybacillus flavithermus
Aquaspirillum anulus,Giesbergeria anulus
Aquaspirillum aquaticum,Comamonas aquatica
Aquaspirillum autotrophicum,Herbaspirillum autotrophicum
Aquaspirillum delicatum,Curvibacter delicatus
Aquaspirillum dispar,Microvirgula aerodenitrificans
Aquaspirillum fasciculus,Prolinoborus fasciculus
Aquaspirillum giesbergeri,Giesbergeria giesbergeri
Aquaspirillum gracile,Hylemonella gracilis
Aquaspirillum itersonii,Novispirillum itersonii
Aquaspirillum itersonii,Novispirillum itersonii
Aquaspirillum itersonii,Novispirillum itersonii
Aquaspirillum magnetotacticum,Magnetospirillum magnetotacticum
Aquaspirillum metamorphum,Simplicispira metamorpha
Aquaspirillum peregrinum,Insolitispirillum peregrinum
Aquaspirillum peregrinum,Insolitispirillum peregrinum
Aquaspirillum peregrinum,Insolitispirillum peregrinum
Aquaspirillum psychrophilum,Simplicispira psychrophila
Aquaspirillum sinuosum,Giesbergeria sinuosa
Arachnia propionica,Pseudopropionibacterium propionicum
Arachnia unavailable,Pseudopropionibacterium unavailable
Arboriscoccus pini,Arboricoccus pini
Arboriscoccus unavailable,Arboricoccus unavailable
Arcanobacterium abortisuis,Trueperella abortisuis
Arcanobacterium bernardiae,Trueperella bernardiae
Arcanobacterium bialowiezense,Trueperella bialowiezensis
Arcanobacterium bonasi,Trueperella bonasi
Arcanobacterium pyogenes,Trueperella pyogenes
Arcobacter aquimarinus,Pseudarcobacter aquimarinus
Arcobacter bivalviorum,Halarcobacter bivalviorum
Arcobacter canalis,Malaciobacter canalis
Arcobacter cloacae,Pseudarcobacter cloacae
Arcobacter defluvii,Pseudarcobacter defluvii
Arcobacter ebronensis,Halarcobacter ebronensis
Arcobacter ellisii,Pseudarcobacter ellisii
Arcobacter haliotis,Poseidonibacter lekithochrous
Arcobacter halophilus,Malaciobacter halophilus
Arcobacter lekithochrous,Poseidonibacter lekithochrous
Arcobacter marinus,Malaciobacter marinus
Arcobacter molluscorum,Malaciobacter molluscorum
Arcobacter mytili,Malaciobacter mytili
Arcobacter pacificus,Malaciobacter pacificus
Arcobacter suis,Pseudarcobacter suis
Arcobacter venerupis,Pseudarcobacter venerupis
Arsukibacterium ikkaensis,Arsukibacterium ikkense
Arthrobacter albidus,Sinomonas albida
Arthrobacter albus,Pseudoglutamicibacter albus
Arthrobacter antarcticus,Paeniglutamicibacter antarcticus
Arthrobacter ardleyensis,Glutamicibacter ardleyensis
Arthrobacter arilaitensis,Glutamicibacter arilaitensis
Arthrobacter atrocyaneus,Sinomonas atrocyanea
Arthrobacter aurescens,Paenarthrobacter aurescens
Arthrobacter bergerei,Glutamicibacter bergerei
Arthrobacter chlorophenolicus,Pseudarthrobacter chlorophenolicus
Arthrobacter creatinolyticus,Glutamicibacter creatinolyticus
Arthrobacter cryotolerans,Paeniglutamicibacter cryotolerans
Arthrobacter cumminsii,Pseudoglutamicibacter cumminsii
Arthrobacter defluvii,Pseudarthrobacter defluvii
Arthrobacter duodecadis,Phycicoccus duodecadis
Arthrobacter echigonensis,Sinomonas echigonensis
Arthrobacter endophyticus,Glutamicibacter endophyticus
Arthrobacter equi,Pseudarthrobacter equi
Arthrobacter flavescens,Microbacterium flavescens
Arthrobacter gangotriensis,Paeniglutamicibacter gangotriensis
Arthrobacter histidinolovorans,Paenarthrobacter histidinolovorans
Arthrobacter ilicis,Paenarthrobacter ilicis
Arthrobacter kerguelensis,Paeniglutamicibacter kerguelensis
Arthrobacter mysorens,Glutamicibacter mysorens
Arthrobacter nasiphocae,Falsarthrobacter nasiphocae
Arthrobacter nicotianae,Glutamicibacter nicotianae
Arthrobacter nicotinovorans,Paenarthrobacter nicotinovorans
Arthrobacter niigatensis,Pseudarthrobacter niigatensis
Arthrobacter nitroguajacolicus,Paenarthrobacter nitroguajacolicus
Arthrobacter oxydans,Pseudarthrobacter oxydans
Arthrobacter phenanthrenivorans,Pseudarthrobacter phenanthrenivorans
Arthrobacter picolinophilus,Rhodococcus erythropolis
Arthrobacter polychromogenes,Pseudarthrobacter polychromogenes
Arthrobacter protophormiae,Glutamicibacter protophormiae
Arthrobacter psychrophenolicus,Paeniglutamicibacter psychrophenolicus
Arthrobacter radiotolerans,Rubrobacter radiotolerans
Arthrobacter sanguinis,Haematomicrobium sanguinis
Arthrobacter scleromae,Pseudarthrobacter scleromae
Arthrobacter siccitolerans,Pseudarthrobacter siccitolerans
Arthrobacter siderocapsulatus,Pseudomonas putida
Arthrobacter simplex,Nocardioides simplex
Arthrobacter soli,Glutamicibacter soli
Arthrobacter sulfonivorans,Pseudarthrobacter sulfonivorans
Arthrobacter sulfureus,Paeniglutamicibacter sulfureus
Arthrobacter terregens,Microbacterium terregens
Arthrobacter tumescens,Terrabacter tumescens
Arthrobacter uratoxydans,Glutamicibacter uratoxydans
Arthrobacter ureafaciens,Paenarthrobacter ureafaciens
Arthrobacter variabilis,Corynebacterium variabile
Arthrobacter viscosus,Rhizobium viscosum
Asaccharobacter celatus,Adlercreutzia equolifaciens
Asaia astilbes,Asaia astilbis
Asaia lannaensis,Asaia lannensis
Aspromonas composti,Arenimonas composti
Aspromonas unavailable,Arenimonas unavailable
Asticcacaulis biprosthecum,Asticcacaulis biprosthecium
Atopobium parvulum,Lancefieldella parvula
